"store";"website";"has_options";"type";"attribute_set";"config_attributes";"category_ids";"sku";"associated";"status";"visibility";"codarticulo";"name";"description";"short_description";"codalternativo";"tax_class_id";"departamento";"seccion";"familia";"subfamilia";"temporada";"manufacturer";"talla";"color";"codbarras";"norma";"tacon";"composicion";"tipo";"refproveedor";"descatalogado";"visibleweb";"fechamodificado";"rutaimagen";"direccioninternet";"documentoasociado";"campo_uno";"campo_dos";"campo_tres";"campo_cuatro";"campo_cinco";"campo_seis";"campo_siete";"campo_ocho";"campo_nueve";"idtarifav";"price";"special_from_date";"special_to_date";"special_price";"qty";"is_in_stock";"news_from_date";"news_to_date";"weight";"stock_price";"special_stockprice";"CHECKSUM"
"admin";"base";"0";"simple";"Default";;;"413742F1550825SFINDIGO";;"Habilitado";"Not Visible Individually";"117143";"JEANS INDIGO WANG 001 FLOCADO BLANCO";"JEANS INDIGO WANG 001 FLOCADO BLANCO";;;"IVA AL 21%";"1";"1";"5";;"OI15C";"ALEXANDER WANG";"25";"SFINDIGO";"1171435";;;"PERMANENT";"152";"413742F15508";;"F";"01/01/99";"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_0.jpg";;;"WANG 001 SLIM LIGHT INDIGO WITH WHITE FLOCKING";"97% Cotton, 2% Polyester, 1% Spandex/Elastane";;"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_1.jpg";"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_2.jpg";;;"F";"INCHES";"4";"355.37";"30/12/99";"30/12/99";".00";"1.00";"1";"30/09/15";"30/10/15";"1";;;"-1153923591"
"admin";"base";"0";"simple";"Default";;;"413742F1550826SFINDIGO";;"Habilitado";"Not Visible Individually";"117143";"JEANS INDIGO WANG 001 FLOCADO BLANCO";"JEANS INDIGO WANG 001 FLOCADO BLANCO";;;"IVA AL 21%";"1";"1";"5";;"OI15C";"ALEXANDER WANG";"26";"SFINDIGO";"1171434";;;"PERMANENT";"152";"413742F15508";;"F";"01/01/99";"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_0.jpg";;;"WANG 001 SLIM LIGHT INDIGO WITH WHITE FLOCKING";"97% Cotton, 2% Polyester, 1% Spandex/Elastane";;"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_1.jpg";"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_2.jpg";;;"F";"INCHES";"4";"355.37";"30/12/99";"30/12/99";".00";"1.00";"1";"30/09/15";"30/10/15";"1";;;"-1153923592"
"admin";"base";"0";"simple";"Default";;;"413742F1550827SFINDIGO";;"Habilitado";"Not Visible Individually";"117143";"JEANS INDIGO WANG 001 FLOCADO BLANCO";"JEANS INDIGO WANG 001 FLOCADO BLANCO";;;"IVA AL 21%";"1";"1";"5";;"OI15C";"ALEXANDER WANG";"27";"SFINDIGO";"1171433";;;"PERMANENT";"152";"413742F15508";;"F";"01/01/99";"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_0.jpg";;;"WANG 001 SLIM LIGHT INDIGO WITH WHITE FLOCKING";"97% Cotton, 2% Polyester, 1% Spandex/Elastane";;"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_1.jpg";"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_2.jpg";;;"F";"INCHES";"4";"355.37";"30/12/99";"30/12/99";".00";"2.00";"1";"30/09/15";"30/10/15";"1";;;"-1152944641"
"admin";"base";"0";"simple";"Default";;;"413742F1550828SFINDIGO";;"Habilitado";"Not Visible Individually";"117143";"JEANS INDIGO WANG 001 FLOCADO BLANCO";"JEANS INDIGO WANG 001 FLOCADO BLANCO";;;"IVA AL 21%";"1";"1";"5";;"OI15C";"ALEXANDER WANG";"28";"SFINDIGO";"1171432";;;"PERMANENT";"152";"413742F15508";;"F";"01/01/99";"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_0.jpg";;;"WANG 001 SLIM LIGHT INDIGO WITH WHITE FLOCKING";"97% Cotton, 2% Polyester, 1% Spandex/Elastane";;"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_1.jpg";"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_2.jpg";;;"F";"INCHES";"4";"355.37";"30/12/99";"30/12/99";".00";"2.00";"1";"30/09/15";"30/10/15";"1";;;"-1152944642"
"admin";"base";"0";"simple";"Default";;;"413742F1550829SFINDIGO";;"Habilitado";"Not Visible Individually";"117143";"JEANS INDIGO WANG 001 FLOCADO BLANCO";"JEANS INDIGO WANG 001 FLOCADO BLANCO";;;"IVA AL 21%";"1";"1";"5";;"OI15C";"ALEXANDER WANG";"29";"SFINDIGO";"1171431";;;"PERMANENT";"152";"413742F15508";;"F";"01/01/99";"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_0.jpg";;;"WANG 001 SLIM LIGHT INDIGO WITH WHITE FLOCKING";"97% Cotton, 2% Polyester, 1% Spandex/Elastane";;"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_1.jpg";"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_2.jpg";;;"F";"INCHES";"4";"355.37";"30/12/99";"30/12/99";".00";"1.00";"1";"30/09/15";"30/10/15";"1";;;"-1153923587"
"admin";"base";"1";"configurable";"Default";"talla,color";"1,1,5";"413742F15508";"413742F1550825SFINDIGO,413742F1550826SFINDIGO,413742F1550827SFINDIGO,413742F1550828SFINDIGO,413742F1550829SFINDIGO";"Habilitado";"Catálogo, Búsqueda";;"JEANS INDIGO WANG 001 FLOCADO BLANCO";"JEANS INDIGO WANG 001 FLOCADO BLANCO";;;"IVA AL 21%";"1";"1";"5";;"OI15C";"ALEXANDER WANG";;;;;;"PERMANENT";"152";"413742F15508";;;;"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_2.jpg";;;"WANG 001 SLIM LIGHT INDIGO WITH WHITE FLOCKING";"97% Cotton, 2% Polyester, 1% Spandex/Elastane";;"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_1.jpg";"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_2.jpg";;;;"INCHES";;"355.37";"30/12/99";"30/12/99";".00";;"1";;;"1";;;
"admin";"base";"1";"configurable";"Default";"talla,color";"1,1,5";"413742F15508";"413742F1550825SFINDIGO,413742F1550826SFINDIGO,413742F1550827SFINDIGO,413742F1550828SFINDIGO,413742F1550829SFINDIGO";"Habilitado";"Catálogo, Búsqueda";;"JEANS INDIGO WANG 001 FLOCADO BLANCO";"JEANS INDIGO WANG 001 FLOCADO BLANCO";;;"IVA AL 21%";"1";"1";"5";;"OI15C";"ALEXANDER WANG";;;;;;"PERMANENT";"152";"413742F15508";;;;"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_1.jpg";;;"WANG 001 SLIM LIGHT INDIGO WITH WHITE FLOCKING";"97% Cotton, 2% Polyester, 1% Spandex/Elastane";;"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_1.jpg";"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_2.jpg";;;;"INCHES";;"355.37";"30/12/99";"30/12/99";".00";;"1";;;"1";;;
"admin";"base";"1";"configurable";"Default";"talla,color";"1,1,5";"413742F15508";"413742F1550825SFINDIGO,413742F1550826SFINDIGO,413742F1550827SFINDIGO,413742F1550828SFINDIGO,413742F1550829SFINDIGO";"Habilitado";"Catálogo, Búsqueda";;"JEANS INDIGO WANG 001 FLOCADO BLANCO";"JEANS INDIGO WANG 001 FLOCADO BLANCO";;;"IVA AL 21%";"1";"1";"5";;"OI15C";"ALEXANDER WANG";;;;;;"PERMANENT";"152";"413742F15508";;;;"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_0.jpg";;;"WANG 001 SLIM LIGHT INDIGO WITH WHITE FLOCKING";"97% Cotton, 2% Polyester, 1% Spandex/Elastane";;"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_1.jpg";"/media/import/fotosweb/alexander_wang/152/alexander_wang_152-043_2.jpg";;;;"INCHES";;"355.37";"30/12/99";"30/12/99";".00";;"1";;;"1";;;
"admin";"base";"0";"simple";"Default";;;"F565VE4111RF9848ANTHRACITE";;"Habilitado";"Not Visible Individually";"117003";"CHAQUETA PUÑOS PUCHO";"CHAQUETA PUÑOS PUCHO";;;"IVA AL 21%";"2";"1";"6";;"OI15C";"KENZO";"48";"ANTHRACITE";"1170034";;;"PERMANENT";"152";"F565VE4111RF98";;"F";"01/01/99";"/media/import/fotosweb/kenzo/152/kenzo_152-085_0.jpg";;;"CUFFED WRIST JACKET";"50% Cotton, 50% Acetate";;"/media/import/fotosweb/kenzo/152/kenzo_152-085_1.jpg";"/media/import/fotosweb/kenzo/152/kenzo_152-085_2.jpg";;"SLOT 33969";"F";"FR";"4";"522.31";;;;"1.00";"1";"29/09/15";"29/10/15";"1";;;"-2036682294"
"admin";"base";"0";"simple";"Default";;;"F565VE4111RF9850ANTHRACITE";;"Habilitado";"Not Visible Individually";"117003";"CHAQUETA PUÑOS PUCHO";"CHAQUETA PUÑOS PUCHO";;;"IVA AL 21%";"2";"1";"6";;"OI15C";"KENZO";"50";"ANTHRACITE";"1170033";;;"PERMANENT";"152";"F565VE4111RF98";;"F";"01/01/99";"/media/import/fotosweb/kenzo/152/kenzo_152-085_0.jpg";;;"CUFFED WRIST JACKET";"50% Cotton, 50% Acetate";;"/media/import/fotosweb/kenzo/152/kenzo_152-085_1.jpg";"/media/import/fotosweb/kenzo/152/kenzo_152-085_2.jpg";;"SLOT 33969";"F";"FR";"4";"522.31";;;;"1.00";"1";"29/09/15";"29/10/15";"1";;;"-2038257203"
"admin";"base";"0";"simple";"Default";;;"F565VE4111RF9852ANTHRACITE";;"Habilitado";"Not Visible Individually";"117003";"CHAQUETA PUÑOS PUCHO";"CHAQUETA PUÑOS PUCHO";;;"IVA AL 21%";"2";"1";"6";;"OI15C";"KENZO";"52";"ANTHRACITE";"1170032";;;"PERMANENT";"152";"F565VE4111RF98";;"F";"01/01/99";"/media/import/fotosweb/kenzo/152/kenzo_152-085_0.jpg";;;"CUFFED WRIST JACKET";"50% Cotton, 50% Acetate";;"/media/import/fotosweb/kenzo/152/kenzo_152-085_1.jpg";"/media/import/fotosweb/kenzo/152/kenzo_152-085_2.jpg";;"SLOT 33969";"F";"FR";"4";"522.31";;;;"1.00";"1";"29/09/15";"29/10/15";"1";;;"-2038387764"
"admin";"base";"0";"simple";"Default";;;"F565VE4111RF9854ANTHRACITE";;"Habilitado";"Not Visible Individually";"117003";"CHAQUETA PUÑOS PUCHO";"CHAQUETA PUÑOS PUCHO";;;"IVA AL 21%";"2";"1";"6";;"OI15C";"KENZO";"54";"ANTHRACITE";"1170031";;;"PERMANENT";"152";"F565VE4111RF98";;"F";"01/01/99";"/media/import/fotosweb/kenzo/152/kenzo_152-085_0.jpg";;;"CUFFED WRIST JACKET";"50% Cotton, 50% Acetate";;"/media/import/fotosweb/kenzo/152/kenzo_152-085_1.jpg";"/media/import/fotosweb/kenzo/152/kenzo_152-085_2.jpg";;"SLOT 33969";"F";"FR";"4";"522.31";;;;"1.00";"1";"29/09/15";"29/10/15";"1";;;"-2037994033"
"admin";"base";"1";"configurable";"Default";"talla,color";"2,1,6";"F565VE4111RF98";"F565VE4111RF9848ANTHRACITE,F565VE4111RF9850ANTHRACITE,F565VE4111RF9852ANTHRACITE,F565VE4111RF9854ANTHRACITE";"Habilitado";"Catálogo, Búsqueda";;"CHAQUETA PUÑOS PUCHO";"CHAQUETA PUÑOS PUCHO";;;"IVA AL 21%";"2";"1";"6";;"OI15C";"KENZO";;;;;;"PERMANENT";"152";"F565VE4111RF98";;;;"/media/import/fotosweb/kenzo/152/kenzo_152-085_2.jpg";;;"CUFFED WRIST JACKET";"50% Cotton, 50% Acetate";;"/media/import/fotosweb/kenzo/152/kenzo_152-085_1.jpg";"/media/import/fotosweb/kenzo/152/kenzo_152-085_2.jpg";;"SLOT 33969";;"FR";;"522.31";;;;;"1";;;"1";;;
"admin";"base";"1";"configurable";"Default";"talla,color";"2,1,6";"F565VE4111RF98";"F565VE4111RF9848ANTHRACITE,F565VE4111RF9850ANTHRACITE,F565VE4111RF9852ANTHRACITE,F565VE4111RF9854ANTHRACITE";"Habilitado";"Catálogo, Búsqueda";;"CHAQUETA PUÑOS PUCHO";"CHAQUETA PUÑOS PUCHO";;;"IVA AL 21%";"2";"1";"6";;"OI15C";"KENZO";;;;;;"PERMANENT";"152";"F565VE4111RF98";;;;"/media/import/fotosweb/kenzo/152/kenzo_152-085_1.jpg";;;"CUFFED WRIST JACKET";"50% Cotton, 50% Acetate";;"/media/import/fotosweb/kenzo/152/kenzo_152-085_1.jpg";"/media/import/fotosweb/kenzo/152/kenzo_152-085_2.jpg";;"SLOT 33969";;"FR";;"522.31";;;;;"1";;;"1";;;
"admin";"base";"1";"configurable";"Default";"talla,color";"2,1,6";"F565VE4111RF98";"F565VE4111RF9848ANTHRACITE,F565VE4111RF9850ANTHRACITE,F565VE4111RF9852ANTHRACITE,F565VE4111RF9854ANTHRACITE";"Habilitado";"Catálogo, Búsqueda";;"CHAQUETA PUÑOS PUCHO";"CHAQUETA PUÑOS PUCHO";;;"IVA AL 21%";"2";"1";"6";;"OI15C";"KENZO";;;;;;"PERMANENT";"152";"F565VE4111RF98";;;;"/media/import/fotosweb/kenzo/152/kenzo_152-085_0.jpg";;;"CUFFED WRIST JACKET";"50% Cotton, 50% Acetate";;"/media/import/fotosweb/kenzo/152/kenzo_152-085_1.jpg";"/media/import/fotosweb/kenzo/152/kenzo_152-085_2.jpg";;"SLOT 33969";;"FR";;"522.31";;;;;"1";;;"1";;;
"admin";"base";"0";"simple";"Default";;;"A360654700029SYELLOW";;"Habilitado";"Not Visible Individually";"116650";"GORRA PIEL LOGO";"GORRA PIEL LOGO";;;"IVA AL 21%";"1";"2";"2";;"OI15C";"MOSCHINO";"S";"YELLOW";"1166501";;;"PERMANENT";"152";"A360654700029";;"F";"01/01/99";"/media/import/fotosweb/moschino/152/moschino_152-152_0.jpg";;;"LOGO LEATHER CAP";"100% Leather";;"/media/import/fotosweb/moschino/152/moschino_152-152_1.jpg";"/media/import/fotosweb/moschino/152/moschino_152-152_2.jpg";;;"F";"STANDARD";"4";"278.51";"30/12/99";"30/12/99";".00";"4.00";"1";"29/09/15";"29/10/15";"1";;;"-419218907"
"admin";"base";"1";"configurable";"Default";"talla,color";"1,2,2";"A360654700029";"A360654700029SYELLOW";"Habilitado";"Catálogo, Búsqueda";;"GORRA PIEL LOGO";"GORRA PIEL LOGO";;;"IVA AL 21%";"1";"2";"2";;"OI15C";"MOSCHINO";;;;;;"PERMANENT";"152";"A360654700029";;;;"/media/import/fotosweb/moschino/152/moschino_152-152_2.jpg";;;"LOGO LEATHER CAP";"100% Leather";;"/media/import/fotosweb/moschino/152/moschino_152-152_1.jpg";"/media/import/fotosweb/moschino/152/moschino_152-152_2.jpg";;;;"STANDARD";;"278.51";"30/12/99";"30/12/99";".00";;"1";;;"1";;;
"admin";"base";"1";"configurable";"Default";"talla,color";"1,2,2";"A360654700029";"A360654700029SYELLOW";"Habilitado";"Catálogo, Búsqueda";;"GORRA PIEL LOGO";"GORRA PIEL LOGO";;;"IVA AL 21%";"1";"2";"2";;"OI15C";"MOSCHINO";;;;;;"PERMANENT";"152";"A360654700029";;;;"/media/import/fotosweb/moschino/152/moschino_152-152_1.jpg";;;"LOGO LEATHER CAP";"100% Leather";;"/media/import/fotosweb/moschino/152/moschino_152-152_1.jpg";"/media/import/fotosweb/moschino/152/moschino_152-152_2.jpg";;;;"STANDARD";;"278.51";"30/12/99";"30/12/99";".00";;"1";;;"1";;;
"admin";"base";"1";"configurable";"Default";"talla,color";"1,2,2";"A360654700029";"A360654700029SYELLOW";"Habilitado";"Catálogo, Búsqueda";;"GORRA PIEL LOGO";"GORRA PIEL LOGO";;;"IVA AL 21%";"1";"2";"2";;"OI15C";"MOSCHINO";;;;;;"PERMANENT";"152";"A360654700029";;;;"/media/import/fotosweb/moschino/152/moschino_152-152_0.jpg";;;"LOGO LEATHER CAP";"100% Leather";;"/media/import/fotosweb/moschino/152/moschino_152-152_1.jpg";"/media/import/fotosweb/moschino/152/moschino_152-152_2.jpg";;;;"STANDARD";;"278.51";"30/12/99";"30/12/99";".00";;"1";;;"1";;;
"admin";"base";"0";"simple";"Default";;;"V048854001269SVIO/PURPLE";;"Habilitado";"Not Visible Individually";"116641";"VESTIDO PUNTO BUGS BUNNY";"VESTIDO PUNTO BUGS BUNNY";;;"IVA AL 21%";"1";"1";"6";;"OI15C";"MOSCHINO";"S";"VIO/PURPLE";"1166412";;;"PERMANENT";"152";"V048854001269";;"F";"01/01/99";"/media/import/fotosweb/moschino/152/moschino_152-151_0.jpg";;;"BUGS BUNNY KNIT DRESS";"100% Wool";;"/media/import/fotosweb/moschino/152/moschino_152-151_1.jpg";"/media/import/fotosweb/moschino/152/moschino_152-151_2.jpg";;;"F";"STANDARD";"4";"490.91";"30/12/99";"30/12/99";".00";"2.00";"1";"01/10/15";"31/10/15";"1";;;"1121792192"
"admin";"base";"0";"simple";"Default";;;"V048854001269XSVIO/PURPLE";;"Habilitado";"Not Visible Individually";"116641";"VESTIDO PUNTO BUGS BUNNY";"VESTIDO PUNTO BUGS BUNNY";;;"IVA AL 21%";"1";"1";"6";;"OI15C";"MOSCHINO";"XS";"VIO/PURPLE";"1166411";;;"PERMANENT";"152";"V048854001269";;"F";"01/01/99";"/media/import/fotosweb/moschino/152/moschino_152-151_0.jpg";;;"BUGS BUNNY KNIT DRESS";"100% Wool";;"/media/import/fotosweb/moschino/152/moschino_152-151_1.jpg";"/media/import/fotosweb/moschino/152/moschino_152-151_2.jpg";;;"F";"STANDARD";"4";"490.91";"30/12/99";"30/12/99";".00";"3.00";"1";"29/09/15";"29/10/15";"1";;;"-887125836"
"admin";"base";"1";"configurable";"Default";"talla,color";"1,1,6";"V048854001269";"V048854001269SVIO/PURPLE,V048854001269XSVIO/PURPLE";"Habilitado";"Catálogo, Búsqueda";;"VESTIDO PUNTO BUGS BUNNY";"VESTIDO PUNTO BUGS BUNNY";;;"IVA AL 21%";"1";"1";"6";;"OI15C";"MOSCHINO";;;;;;"PERMANENT";"152";"V048854001269";;;;"/media/import/fotosweb/moschino/152/moschino_152-151_2.jpg";;;"BUGS BUNNY KNIT DRESS";"100% Wool";;"/media/import/fotosweb/moschino/152/moschino_152-151_1.jpg";"/media/import/fotosweb/moschino/152/moschino_152-151_2.jpg";;;;"STANDARD";;"490.91";"30/12/99";"30/12/99";".00";;"1";;;"1";;;
